Symbol,GICS Sector,Headquarters Location,Founded
NSC,Industrials,"Norfolk, Virginia",1881/1894 (1980)
NTRS,Financials,"Chicago, Illinois",1889
NOC,Industrials,"West Falls Church, Virginia","1994 (Northrop 1939, Grumman 1930)"
NOC,Industrials,"West Falls Church, Virginia","1994 (Northrop 1939, Grumman 1930)"
NLOK,Information Technology,"Tempe, Arizona",1982
NCLH,Consumer Discretionary,"Miami, Florida",2011 (1966)
NCLH,Consumer Discretionary,"Miami, Florida",2011 (1966)
NRG,Utilities,"Houston, Texas",1992
NUE,Materials,"Charlotte, North Carolina",1940
NVDA,Information Technology,"Santa Clara, California",1993
NVR,Consumer Discretionary,"Reston, Virginia",1980
NXPI,Information Technology,"Eindhoven, Netherlands",1953
ORLY,Consumer Discretionary,"Springfield, Missouri",1957
OXY,Energy,"Houston, Texas",1920
ODFL,Industrials,"Thomasville, North Carolina",1934
OMC,Communication Services,"New York City, New York",1986
ON,Information Technology,"Phoenix, Arizona",1999
OKE,Energy,"Tulsa, Oklahoma",1906
ORCL,Information Technology,"Austin, Texas",1977
OGN,Health Care,"Jersey City, New Jersey",2021
OTIS,Industrials,"Farmington, Connecticut",2020 (1853)
PCAR,Industrials,"Bellevue, Washington",1905
PKG,Materials,"Lake Forest, Illinois",1959
PARA,Communication Services,"New York City, New York",2019 (1952)
PH,Industrials,"Cleveland, Ohio",1917
PAYX,Information Technology,"Penfield, New York",1971
PAYC,Information Technology,"Oklahoma City, Oklahoma",1998
PYPL,Information Technology,"San Jose, California",1998
PENN,Consumer Discretionary,"Wyomissing, Pennsylvania",1972
PNR,Industrials,"Worsley, United Kingdom",1966
PEP,Consumer Staples,"Purchase, New York",1898
PKI,Health Care,"Waltham, Massachusetts",1937
PFE,Health Care,"New York City, New York",1849
PM,Consumer Staples,"New York City, New York",2008 (1847)
PSX,Energy,"Houston, Texas",2012 (1917)
PNW,Utilities,"Phoenix, Arizona",1985
PXD,Energy,"Irving, Texas",1997
PNC,Financials,"Pittsburgh, Pennsylvania",1845
POOL,Consumer Discretionary,"Covington, Louisiana",1993
PPG,Materials,"Pittsburgh, Pennsylvania",1883
PPL,Utilities,"Allentown, Pennsylvania",1920
PFG,Financials,"Des Moines, Iowa",1879
PG,Consumer Staples,"Cincinnati, Ohio",1837
PGR,Financials,"Mayfield Village, Ohio",1937
PLD,Real Estate,"San Francisco, California",1983
PRU,Financials,"Newark, New Jersey",1875
PEG,Utilities,"Newark, New Jersey",1903
PTC,Information Technology,"Boston, Massachusetts",1985
PSA,Real Estate,"Glendale, California",1972
PHM,Consumer Discretionary,"Atlanta, Georgia",1956
PVH,Consumer Discretionary,"New York City, New York",1881
QRVO,Information Technology,"Greensboro, North Carolina",2015
PWR,Industrials,"Houston, Texas",1997
QCOM,Information Technology,"San Diego, California",1985
DGX,Health Care,"Secaucus, New Jersey",1967
RL,Consumer Discretionary,"New York City, New York",1967
RJF,Financials,"St. Petersburg, Florida",1962
RTX,Industrials,"Waltham, Massachusetts",1922
O,Real Estate,"San Diego, California",1969
REG,Real Estate,"Jacksonville, Florida",1963
REGN,Health Care,"Tarrytown, New York",1988
RF,Financials,"Birmingham, Alabama",1971
RSG,Industrials,"Phoenix, Arizona",1998 (1981)
RMD,Health Care,"San Diego, California",1989
RHI,Industrials,"Menlo Park, California",1948
ROK,Industrials,"Milwaukee, Wisconsin",1903
ROK,Industrials,"Milwaukee, Wisconsin",1903
ROL,Industrials,"Atlanta, Georgia",1948
ROP,Industrials,"Sarasota, Florida",1981
ROST,Consumer Discretionary,"Dublin, California",1982
RCL,Consumer Discretionary,"Miami, Florida",1997
SPGI,Financials,"New York City, New York",1917
CRM,Information Technology,"San Francisco, California",1999
SBAC,Real Estate,"Boca Raton, Florida",1989
SLB,Energy,"Curaçao, Kingdom of the Netherlands",1926
STX,Information Technology,"Dublin, Ireland",1979
SEE,Materials,"Charlotte, North Carolina",1960
SRE,Utilities,"San Diego, California",1998
NOW,Information Technology,"Santa Clara, California",2003
SHW,Materials,"Cleveland, Ohio",1866
SBNY,Financials,"New York City, New York",2001
SPG,Real Estate,"Indianapolis, Indiana",2003
SWKS,Information Technology,"Irvine, California",2002
SJM,Consumer Staples,"Orrville, Ohio",1897
SNA,Industrials,"Kenosha, Wisconsin",1920
SEDG,Information Technology,"Herzliya, Israel",2006
SO,Utilities,"Atlanta, Georgia",1945
LUV,Industrials,"Dallas, Texas",1967
SWK,Industrials,"New Britain, Connecticut",1843
SBUX,Consumer Discretionary,"Seattle, Washington",1971
STT,Financials,"Boston, Massachusetts",1792
STE,Health Care,"Dublin, Ireland",1985
SYK,Health Care,"Kalamazoo, Michigan",1941
SIVB,Financials,"Santa Clara, California",1983
SYF,Financials,"Stamford, Connecticut",2003
SNPS,Information Technology,"Mountain View, California",1986
SYY,Consumer Staples,"Houston, Texas",1969
TMUS,Communication Services,"Bellevue, Washington",1994
TROW,Financials,"Baltimore, Maryland",1937
TTWO,Communication Services,"New York City, New York",1993
TPR,Consumer Discretionary,"New York City, New York",2017
TGT,Consumer Discretionary,"Minneapolis, Minnesota",1902
TEL,Information Technology,"Schaffhausen, Switzerland",2007
TDY,Industrials,"Thousand Oaks, California",1960
TFX,Health Care,"Wayne, Pennsylvania",1943
TER,Information Technology,"North Reading, Massachusetts",1960
TSLA,Consumer Discretionary,"Palo Alto, California",2003
TXN,Information Technology,"Dallas, Texas",1930
TXT,Industrials,"Providence, Rhode Island",1923
TMO,Health Care,"Waltham, Massachusetts",2006 (1902)
TJX,Consumer Discretionary,"Framingham, Massachusetts",1987
TSCO,Consumer Discretionary,"Brentwood, Tennessee",1938
TT,Industrials,"Dublin, Ireland",1871
TDG,Industrials,"Cleveland, Ohio",1993
TRV,Financials,"New York City, New York",1853
TRMB,Information Technology,"Sunnyvale, California",1978
TRMB,Information Technology,"Sunnyvale, California",1978
TFC,Financials,"Charlotte, North Carolina",1872
TWTR,Communication Services,"San Francisco, California",2006
TYL,Information Technology,"Plano, Texas",1966
TSN,Consumer Staples,"Springdale, Arkansas",1935
USB,Financials,"Minneapolis, Minnesota",1968
UDR,Real Estate,"Highlands Ranch, Colorado",1972
ULTA,Consumer Discretionary,"Bolingbrook, Illinois",1990
UNP,Industrials,"Omaha, Nebraska",1862
UAL,Industrials,"Chicago, Illinois",1967
UAL,Industrials,"Chicago, Illinois",1967
UPS,Industrials,"Sandy Springs, Georgia",1907
URI,Industrials,"Stamford, Connecticut",1997
UNH,Health Care,"Minnetonka, Minnesota",1977
UHS,Health Care,"King of Prussia, Pennsylvania",1979
VLO,Energy,"San Antonio, Texas",1980
VTR,Real Estate,"Chicago, Illinois",1998
VRSN,Information Technology,"Dulles, Virginia",1995
VRSK,Industrials,"Jersey City, New Jersey",1971
VZ,Communication Services,"New York City, New York",1983 (1877)
VRTX,Health Care,"Cambridge, Massachusetts",1989
VFC,Consumer Discretionary,"Denver, Colorado",1899
VTRS,Health Care,"Pittsburgh, Pennsylvania",1961
V,Information Technology,"San Francisco, California",1958
